従業員ID,氏名,部署,入社日,基本給,年齢,性別,扶養家族数
E091,後藤 加奈,営業部,2021-03-14,334351,37,男性,2
E092,山田 花子,開発部,2018-05-27,355453,28,女性,4
E093,遠藤 健一,総務部,2021-01-09,328579,32,男性,0
E094,池田 修平,総務部,2020-02-09,324542,51,女性,3
E095,中村 春香,開発部,2021-02-07,335008,43,女性,2
E096,山崎 陽一,開発部,2015-08-08,414159,32,女性,0
E097,渡辺 美加子,開発部,2016-02-28,379969,30,男性,0
E098,阿部 明美,人事部,2020-12-19,328646,32,男性,2
E099,山田 美加子,営業部,2016-03-08,411603,46,女性,4
E100,伊藤 春香,営業部,2016-04-10,405837,60,男性,0
